Unit Name,Nation,Type,Year,Cost,Def,Speed,Veh S,Veh M,Veh L,Per S,Per M,Per L,Abilities
D.520 Interceptor,Bulgaria,Aircraft,1943,14,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair"
Typhoon Mk IB Raider,Canada,Aircraft,1944,19,4/4,A,5,4,-,8,6,-,"Aircraft, Antiair, Rockets 8"
Canadian Infantrymen,Canada,Soldier,1941,3,4/4,1,2,-,-,8,6,-,Close Assault 6
Eagle-Eyed NCO,Canada,Soldier Commander,1941,7,4/4,1,2,-,-,8,6,-,"Close Assault 7, COMMANDER ABILITIES:2, Improved Accuracy"
Entrenched Anti-Tank Gun,Canada,Soldier Artillery,1943,7,3/3,0,11,9,8,3,3,3,"Relocate 2, Entrenched"
Intrepid Hero,Canada,Soldier Hero,1941,8,5/5,1,2,-,-,8,6,-,"Canadian Hero, Hand to Hand 9, Close Assault 8, Firepower"
Churchill III,Canada,Vehicle Tank,1942,28,7/6,2,11,9,8,7,7,6,Superior Armor 2
Ram Kangaroo,Canada,Vehicle Tank,1944,10,5/4,4,2,2,2,6,6,4,"Transport, Fighting Platform"
Sherman DD,Canada,Vehicle Tank,1944,24,5/4,4,13,11,9,9,9,7,"Amphibious, Collapsible Screen"
Sherman VC 17-Pounder,Canada,Vehicle Tank,1944,27,5/4,4,15,13,11,7,7,6,Armor-Piercing Rounds
"I-16 ""Abu""",China,Aircraft,1939,10,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair, Inaccurate 1"
P-40 C Flying Tiger,China,Aircraft,1941,15,4/4,A,3,2,-,8,6,-,"Aircraft, Antiair, Superior Armor 2"
Kuomintang MG Team,China,Soldier,1939,6,4/4,1,2,2,2,8,7,6,"Double Shot, Overheat"
Kuomintang Officer,China,Soldier Commander,1939,5,4/4,1,2,-,-,6,-,-,COMMANDER ABILITIES:1
Kuomintang Rifleman,China,Soldier,1939,2,4/4,1,2,-,-,7,5,-,Lack of Determination
T-26 Series 1933,China,Vehicle Tank,1939,11,2/2,3,9,8,6,7,7,6,Unreliable
Croatian Infantry,Croatia,Soldier,1941,3,4/4,1,2,-,-,8,6,-,Close Assault 6
B239 Brewster Ace,Finland,Aircraft,1941,13,3/3,A,3,2,-,8,5,-,"Ace, Aircraft, Steely Resolve 2"
"MS.406 ""Matimaha""",Finland,Aircraft,1940,12,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair"
Finnish Infantry,Finland,Soldier,1939,3,4/4,1,2,-,-,8,6,-,Close Assault 6
Finnish MG Team,Finland,Soldier,1939,9,4/4,1,3,3,2,9,8,7,Double Shot
Finnish Officer,Finland,Soldier Commander,1939,6,4/4,1,2,-,-,7,5,-,"Hand to Hand 9, COMMANDER ABILITIES:2, Terrain Expert"
Finnish Ski Troop,Finland,Soldier,1939,4,4/4,1,2,-,-,9,7,-,"Limited Range 2, Close Assault 7, Steely Resolve 2"
StuG III Ausf. G,Finland,Vehicle Tank Destroyer,1944,19,5/3,3,15,13,11,7,7,6,"No Turret, Sideskirts"
T-26E,Finland,Vehicle Tank,1941,11,2/2,3,9,8,6,7,7,6,-
D.520 Ace,France,Aircraft,1940,17,4/4,A,4,3,-,9,7,-,"Ace, Aircraft, Agility"
Morane-Saulnier MS.406,France,Aircraft,1940,12,4/4,A,4,3,-,7,5,-,"Aircraft, Antiair"
MS.406 Rookie,France,Aircraft,1939,9,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair, Aircraft, Antiair, Inaccurate 1"
MS.406 Veteran,France,Aircraft,1940,11,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair"
Bold Captain,France,Soldier Commander,1940,7,4/4,1,2,-,-,6,-,-,"COMMANDER ABILITIES:2, Elan"
Canon de 75 Modele 1897,France,Soldier Artillery,1940,6,3/3,0,5,4,4,9,8,7,"Relocate 2, Indirect Fire, Enhanced Range 12, Light Artillery"
Free French Infantryman,France,Soldier,1941,3,4/4,1,2,-,-,8,6,-,Close Assault 6
French Alpine Troop,France,Soldier,1940,6,5/5,1,2,-,-,9,6,-,"Mountaineering, Close Assault 6"
French Resistance Fighter,France,Soldier,1941,4,4/4,1,2,-,-,8,6,-,"Partisan, Close Assault 5"
Hotchkiss MG Team,France,Soldier,1940,7,4/4,1,3,3,2,8,7,6,Double Shot
Lebel 86M93 Grenadier,France,Soldier,1940,3,4/4,1,4,4,-,6,4,-,"Limited Range 2, Inaccurate 1, Shrapnel 2"
MAS 7.5mm Rifle,France,Soldier,1940,3,4/4,1,2,-,-,8,6,-,Close Assault 6
Char B1-Bis,France,Vehicle Tank,1940,21,5/5,3,9,8,7,7,7,6,"Extra Hull-Mounted Cannon, Prone to Breakdown"
FCM 36,France,Vehicle Tank,1940,11,4/4,3,8,7,5,6,6,5,Superior Frontal Armor 2
Hotchkiss H-39,France,Vehicle Tank,1940,11,4/4,3,9,7,6,6,6,4,-
P107 Half-Track,France,Vehicle Half-Track,1940,6,2/2,4,2,-,-,5,5,4,"Gun Transport, High Gear 2, Fighting Platform"
Panhard et Levassor P 178,France,Vehicle Armored Car,1940,10,2/2,4,6,5,4,9,8,7,"High Gear 2, Strike and Fade 2"
Renault R-35,France,Vehicle Tank,1940,9,4/4,2,8,7,5,6,6,4,Trench Crossing
Somua S-35,France,Vehicle Tank,1940,14,4/4,4,10,8,7,6,6,4,Undermanned
Bf 109 E Ace,Germany,Aircraft,1939,17,4/4,A,4,3,-,9,7,-,"Aircraft, Ace, Steely Resolve 2"
Bf 109 E Wingman,Germany,Aircraft,1939,14,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair"
"Bf 109 F ""Friedrich""",Germany,Aircraft,1940,13,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair, Agility"
"Bf 109G ""Gustav"" Ace",Germany,Aircraft,1942,17,4/4,A,3,2,-,8,6,-,"Aircraft, Ace, Ruthless"
Bf 110 C,Germany,Aircraft,1939,17,4/4,A,5,4,-,9,7,-,Aircraft
Channel Front FW 190 A,Germany,Aircraft,1942,15,4/4,A,4,3,-,9,6,-,"Aircraft, Antiair, Agility"
Dornier Do 335,Germany,Aircraft,1945,15,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair, Speed Boost"
Focke-Wulf Fw190a,Germany,Aircraft,1941,14,4/4,A,4,3,-,9,6,-,"Aircraft, Antiair"
FW 190 A Wurger,Germany,Aircraft,1941,14,4/4,A,4,3,-,9,6,-,"Aircraft, Antiair"
Fw109A Africa Korps Ace,Germany,Aircraft,1942,20,4/4,A,4,3,-,9,7,-,"Ace, Aircraft, Vast Experience"
"Fw190D ""Dora""",Germany,Aircraft,1944,15,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair"
Fw190D Rookie,Germany,Aircraft,1944,13,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair, Inaccurate 1"
JU-87 Stuka,Germany,Aircraft,1939,16,4/4,A,6,4,-,8,6,-,"Aircraft, Sirens, Slow"
Junkers JU-87B Stuka,Germany,Aircraft,1939,16,4 4,A,6,4,-,8,6,-,"Aircraft, Slow, Sirens"
Junkers JU-87G Stuka,Germany,Aircraft,1943,21,4/4,A,10,8,-,5,3,-,"Aircraft, Slow"
Messerschmitt Ace,Germany,Aircraft,1939,16,4/4,A,4,3,-,9,7,-,"Aircraft, Ace"
Messerschmitt Bf109E,Germany,Aircraft,1939,14,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair"
Messerschmitt Me 110,Germany,Aircraft,1939,17,4/4,A,5,4,-,9,7,-,Aircraft
Messerschmitt Me110,Germany,Aircraft,1939,17,4/4,A,5,4,-,9,7,-,Aircraft
Messerschmitt Me262,Germany,- Jet,1944,19,5/5,A,5,4,-,10,7,-,"Jet, Aircraft, Antiair"
20mm FlaK 38,Germany,Soldier Artillery,1939,7,3/3,0,4,4,3,9,8,7,"Antiair, Relocate 2, Light Artillery"
7.5cm lelG18,Germany,Soldier Artillery,1939,7,3/3,0,6,5,4,10,9,8,"Relocate 2, Indirect Fire, Enhanced Range 12, Light Artillery"
88 w/Gun Shield,Germany,Soldier Artillery,1939,20,3/3,0,18,15,13,7,7,6,"Large, Antiair, Gun Shield, Large Silhouette, Extended Range 20"
88mm Flak 36,Germany,Soldier Artillery,1939,19,3/3,0,18,15,13,7,7,6,"Large, Antiair, Extended Range 20, Large Silhouette"
BMW R75,Germany,Soldier Motorcycle,1941,5,3/3,5,2,-,-,8,6,-,"High Gear 2, Thin Wheels, Close Assault 4"
DAK Infantry,Germany,Soldier,1941,4,4/4,1,2,-,-,9,6,-,"Close Assault 6, Steely Resolve 2"
Disciplined Spotter,Germany,Soldier Spotter,1939,6,3/3,1,2,-,-,7,5,-,"Spotter, Chatting on the Radio, Concealed"
Fallschirmjager,Germany,Soldier Paratrooper,1939,8,5/5,1,2,-,-,9,7,-,"Paratrooper, Close Assault 7"
Flammenwerfer 35,Germany,Soldier,1939,5,4/4,1,7,-,-,10,-,-,Flamethrower
Fortress Defender,Germany,Soldier,1942,2,3/3,1,2,-,-,7,5,-,"Entrenched, Close Assault 5"
Grizzled Veteran,Germany,Soldier Hero,1940,8,5/5,1,2,-,-,9,6,3,"German Hero, Close Assault 8, Vast Experience"
Light Mortar,Germany,Soldier,1939,5,3/3,1,-,4,3,3,6,5,"Inaccurate 1, Limited Range 6, Shrapnel 2"
Luftwaffe Infantrymen,Germany,Soldier,1942,3,4/4,1,2,-,-,7,4,-,"Close Assault 5, Antiair Support"
Mauser Kar 98k,Germany,Soldier,1939,3,4/4,1,2,-,-,8,6,-,Close Assault 6
MG 34 Machine Gun Team,Germany,Soldier,1939,8,4/4,1,3,3,2,9,8,6,Double Shot
MG 42 Machine Gun Team,Germany,Soldier,1942,10,4/4,1,3,3,2,10,8,7,"Double Shot, Suppressive Fire"
Motorized Schutzen,Germany,Soldier,1939,4,4/4,1,2,-,-,8,6,-,"Mechanized Tactics, Close Assault 7"
Nebelwerfer 41,Germany,Soldier Artillery,1941,11,3/3,0,7,7,7,7,13,10,"Enhanced Range 16, Inaccurate 1, Relocate 2, Bombardment, Blast, Rocket Salvo"
PaK 35/36 Anti-Tank Gun,Germany,Soldier Artillery,1939,5,3/3,0,9,7,5,3,3,3,"Relocate 2, Light Artillery"
PaK 38 Anti-Tank Gun,Germany,Soldier Artillery,1941,8,3/3,0,11,9,7,3,3,3,"Relocate 2, Seasoned Crew"
PaK 40 Anti-Tank Gun,Germany,Soldier Artillery,1942,11,3/3,0,15,13,12,3,3,3,"Relocate 1, Extended Range 10, Large"
Panzerfaust 30,Germany,Soldier,1943,4,4/4,1,10,6,-,4,-,-,"Close Assault 11, Limited Range 2"
Panzergrenadier,Germany,Soldier,1939,4,4/4,1,2,-,-,8,6,-,"Mechanized Tactics, Close Assault 8"
Panzerschreck,Germany,Soldier,1943,7,4/4,1,12,5,-,5,-,-,Close Assault 14
Pioneers,Germany,Soldier,1939,7,4/4,1,2,-,-,7,5,-,"Close Assault 12, Bridge Demolition"
Recon BMW R75,Germany,Soldier Motorcycle,1941,6,3/3,5,2,-,-,7,5,-,"High Gear 2, Thin Wheels, Close Assault 4, Recon"
Sandbagged Machine Gun Team,Germany,Soldier,1939,12,4/4,1,3,3,2,10,8,7,"Entrenched, Double Shot, Suppressive Fire"
"Sd Kfz 303 ""Goliath""",Germany,Soldier Artillery,1943,7,3/3,1,2,-,-,5,-,-,Remote Control
sGrW 34 81mm mortar,Germany,Soldier Artillery,1939,11,3/3,0,-,6,5,3,8,8,"Indirect Fire, Enhanced Range 16, Inaccurate 1, Shrapnel 2, Relocate 2"
SS Haupsturmfuhrer,Germany,Soldier Commander,1939,7,4/4,1,2,-,-,6,-,-,"Fanatic, COMMANDER ABILITIES:3, Exert Will"
SS Panzergrenadier,Germany,Soldier,1940,7,5/5,1,2,-,-,10,8,-,"Close Assault 7, Ruthless"
SS-Stormtrooper,Germany,Soldier,1940,7,5/5,1,2,-,-,11,6,-,"Limited Range 2, Close Assault 8, , Ruthless"
Veteran Fallshirmjager,Germany,Soldier Paratrooper,1940,10,5/5,1,2,-,-,10,7,-,"Paratrooper, Close Assault 8, Hardened Veteran"
Volkssturm Infantrymen,Germany,Soldier,1944,2,3/3,1,1,-,-,7,5,-,Close Assault 5
Wehrmacht Expert Sniper,Germany,Soldier Sniper,1939,11,3/3,1,1,1,1,6,6,6,"Crack Shot, Headshot, Superior Camouflage"
Wehrmacht Oberleutnant,Germany,Soldier Commander,1943,12,4/4,1,10,6,-,6,-,-,"Close Assault 11, Limited Range 2, COMMANDER ABILITIES:2, Angriff"
Wehrmacht Veteran Infantrymen,Germany,Soldier,1940,5,4/4,1,2,-,-,9,7,-,"Close Assault 7, Steely Resolve 2, Suppressive Fire"
Werwolf Partisans,Germany,Soldier,1944,4,4/4,1,2,-,-,9,5,-,"Partisan, Limited Range 2"
Elephant,Germany,Vehicle Tank Destroyer,1943,58,8/6,2,18,15,13,5,5,-,"No Turret, Extended Range 16, Tall Silhouette, Heavy Armor"
Elite Panzer IV Ausf. D,Germany,Vehicle Tank,1940,18,3/3,3,10,9,8,7,7,6,Crack Shot
Elite StuG III Ausf. G,Germany,Vehicle Tank Destroyer,1943,27,5/3,3,15,13,11,7,7,6,"No Turret, Sideskirts, Tank Hunter"
FlakPanzer IV Wirbelwind,Germany,Vehicle Tank,1944,19,3/3,3,6,6,5,11,10,8,"Antiair, Tall Silhouette"
Hummel,Germany,Vehicle Artillery,1943,30,3/3,3,12,10,9,10,10,9,"Fixed Howitzer, Enhanced Range 16, Bombardment, Blast, Indirect Fire"
JagdPanther,Germany,Vehicle Tank Destroyer,1944,39,6/4,4,18,15,13,6,6,4,"No Turret, Extended Range 12, Superior Armor 2"
Jagdpanzer 38(t) Hetzer,Germany,Vehicle Tank Destroyer,1944,20,5/3,4,15,13,11,6,6,4,"No Turret, Hard to Spot"
Jagdpanzer IV/48,Germany,Vehicle Tank Destroyer,1944,22,5/3,3,15,13,11,5,5,4,"No Turret, Superior Frontal Armor 2, Hard to Spot"
Jagdpanzer IV/70 (V),Germany,Vehicle Tank Destroyer,1944,25,5/3,3,16,14,12,5,5,4,"No Turret, Hard to Spot, Sideskirts, Superior Frontal Armor 2"
JagdTiger,Germany,Vehicle Tank Destroyer,1944,54,8/6,2,20,17,15,7,7,6,"No Turret, Extended Range 16, Superior Armor 2, Prone to Breakdown"
King Tiger,Germany,Vehicle Tank,1944,62,8/6,3,18,15,13,7,7,6,"Extended Range 12, Superior Armor 2"
Kubelwagon V,Germany,Vehicle Car,1939,3,1/1,5,-,-,-,-,-,-,"High Gear 2, Transport"
Marder II,Germany,Vehicle Tank Destroyer,1942,17,3/2,4,15,13,11,6,5,4,"No Turret, Open Back, Extended Range 10"
Marder III Ausf. M,Germany,Vehicle Tank Destroyer,1943,17,3/2,4,15,13,11,6,5,4,"No Turret, Robust, Extended Range 10"
Nashorn,Germany,Vehicle Tank Destroyer,1943,40,3/2,4,18,16,14,5,5,-,"Superior Optics, No Turret, Extended Range 20, Tall Silhouette"
Opel Blitz 3 ton,Germany,Vehicle,1939,4,1/1,3,-,-,-,-,-,-,"High Gear 2, Large Transport"
Panther Ausf. A,Germany,Vehicle Tank,1943,37,6/4,4,16,14,11,7,7,6,"Extended Range 12, Superior Armor 2"
Panther Ausf. D,Germany,Vehicle Tank,1943,35,6/4,4,15,13,11,7,7,6,"Extended Range 12, Superior Armor 2"
Panzer IB,Germany,Vehicle Tank,1939,6,2/2,4,2,2,2,7,7,6,Double Shot
"Panzer II (F) ""Flamingo""",Germany,Vehicle Tank,1941,14,3/2,4,11,2,2,8,5,4,Flamethrower
Panzer II Ausf. C,Germany,Vehicle Tank,1939,7,2/2,3,4,3,2,6,6,4,"Excellent Suspension, Double Shot"
Panzer II Ausf. F,Germany,Vehicle Tank,1941,8,3/2,3,4,3,2,6,6,4,"Double Shot, Excellent Suspension"
Panzer III Ausf. F,Germany,Vehicle Tank,1940,13,3/3,3,10,8,6,7,7,6,Smoke Screen
Panzer III Ausf. N Commander,Germany,Vehicle Tank Commander,1942,22,5/3,3,10,9,8,7,7,6,"COMMANDER ABILITIES:2, Command Quick Reactions"
Panzer IV Ausf G (Early),Germany,Vehicle Tank,1942,22,5/3,3,15,13,11,7,7,6,Extended Range 10
Panzer IV Ausf. E,Germany,Vehicle Tank,1941,14,4/3,3,10,9,8,7,7,6,-
Panzer IV Ausf. G,Germany,Vehicle Tank,1942,23,5/3,3,15,13,11,7,7,6,"Extended Range 10, Sideskirts"
Panzer IV Ausf. G (Early),Germany,Vehicle Tank,1942,22,5/3,3,15,13,11,7,7,6,Extended Range 10
Panzer IV Ausf. H Commander,Germany,Vehicle Tank Commander,1943,45,5/3,3,15,13,11,7,7,6,"Extended Range 10, Sideskirts, Overrun, COMMANDER ABILITIES:3, Command Ruthless"
Panzer IV Ausf.F2,Germany,Vehicle Tank,1942,22,5/3,3,15,13,11,7,7,6,Extended Range 10
Panzerjager Bren 731(e),Germany,Vehicle,1944,12,2/2,4,12,5,-,6,4,-,Dismounted Attack
Panzerjager I,Germany,Vehicle Tank Destroyer,1940,8,2/2,4,10,8,7,5,2,-,"No Turret, Open Back"
Panzerspahwagon p204(f),Germany,Vehicle Armored Car,1941,10,2/2,4,6,5,4,9,8,7,"High Gear 2, Strike and Fade 2"
PzKpfw 38(t),Germany,Vehicle Tank,1939,10,3/2,4,8,7,5,7,7,6,Robust
PzKpfw IV Ausf A,Germany,Vehicle Tank,1939,12,3/3,3,10,9,8,7,7,6,-
Sd Kfz 2 Motorcycle Half-Track,Germany,Vehicle,1941,4,1/1,4,-,-,-,5,-,-,Light Towing
Sd Kfz 222,Germany,Vehicle Armored Car,1939,6,2/2,5,4,3,2,7,6,4,"High Gear 2, Strike and Fade 2"
Sd Kfz 231,Germany,Vehicle Armored Car,1939,6,3/2,4,4,3,2,7,6,4,"High Gear 2, Strike and Fade 2"
"Sd Kfz 234/2 ""Puma""",Germany,Vehicle Armored Car,1943,17,3/2,5,12,10,8,7,7,6,"High Gear 2, Strike and Fade 1"
Sd Kfz 234/4,Germany,Vehicle Armored Car,1945,24,3/2,5,15,13,11,7,6,4,"High Gear 2, Strike and Fade 1, Extended Range 10, No Turret"
Sd Kfz 250,Germany,Vehicle Half-Track,1941,6,2/2,4,2,2,2,6,5,4,"Transport, High Gear 2, Fighting Platform"
Sd Kfz 251,Germany,Vehicle Half-Track,1939,7,2/2,4,2,2,2,8,7,6,"Gun Transport, High Gear 2, Fighting Platform"
Sd Kfz 7/1,Germany,Vehicle Half-Track,1940,16,2/2,4,6,5,4,11,10,8,"Antiair, Open Crew"
SdKfz 2 Motorcycle Half-Track,Germany,Vehicle,1941,4,1/1,1,-,-,-,5,-,-,Light Towing
sIG 33,Germany,Vehicle Assault Gun,1940,15,2/2,3,8,6,4,9,9,7,"Fixed Howitzer, Enhanced Range 16, Blast, Bombardment, Open Back"
SS Jagdpanther,Germany,Vehicle Tank Destroyer,1944,42,6/4,4,18,15,13,6,6,4,"No Turret, SS Determination, Extended Range 12, Superior Armor 2"
SS Panther Ausf. G,Germany,Vehicle Tank,1944,42,6/4,4,16,14,11,7,7,6,"SS Determination, Extended Range 12, Superior Armor 2"
SS Panzer IV Ausf. F2,Germany,Vehicle Tank,1942,27,5/3,3,15,13,11,7,7,6,"SS Determination, Extended Range 10, Battlefield Awareness"
StuG III Ausf. D,Germany,Vehicle Assault Gun,1941,15,4/3,3,10,9,8,8,8,7,"Fixed Howitzer, Seasoned Crew"
StuG III Ausf. G,Germany,Vehicle Tank Destroyer,1943,19,5/3,3,15,13,11,7,7,6,"No Turret, Sideskirts"
"Sturmpanzer IV ""Brummbar""",Germany,Vehicle Assault Gun,1943,23,7/4,3,8,6,4,9,9,7,"Sideskirts, Fixed Howitzer, Bombardment, Blast"
Tiger I,Germany,Vehicle Tank,1942,56,7/6,3,17,15,12,7,7,6,"Overrun, Extended Range 10, Heavy Armor"
Veteran Panzer III Ausf. L,Germany,Vehicle Tank,1942,19,5/3,3,13,11,8,7,7,6,"Smoke Screen, Veteran Crew"
Veteran Tiger,Germany,Vehicle Tank,1942,68,7/6,3,17,15,12,7,7,6,"Extended Range 12, Heavy Armor, Crack Shot"
Wespe,Germany,Vehicle Artillery,1943,26,3/3,3,11,9,8,10,9,8,"Fixed Howitzer, Indirect Fire, Enhanced Range 16, Bombardment"
Greek Cavalry,Greece,Soldier Cavalry,1940,4,3/3,3,2,-,-,7,5,-,"Hand to Hand 9, Charge"
Greek Mountain Infantry,Greece,Soldier,1940,4,4/4,1,2,-,-,8,6,1,"Mountaineering, Close Assault 5, Steely Resolve 2"
Greek Officer,Greece,Soldier Commander,1940,9,4/4,1,2,-,-,6,-,-,"Close Assault 5, COMMANDER ABILITIES:2, Tides of War"
Greek Soldier,Greece,Soldier,1940,3,4/4,1,1,-,-,7,5,-,"Close Assault 5, Fury 2"
37mm Light Anti-Tank Gun,Hungary,Soldier Artillery,1941,5,3/3,0,9,7,5,3,3,3,"Relocate 2, Light Artillery"
8mm Huzagol 35M,Hungary,Soldier,1941,3,4/4,1,2,-,-,8,5,-,Close Assault 6
8mm huzagol 35m,Hungary,Soldier,1941,3,4/4,1,2,-,-,8,5,-,Close Assault 6
Solothurn 31M MG Team,Hungary,Soldier,1941,7,4/4,1,3,3,2,8,7,6,Double Shot
Tenacious Officer,Hungary,Soldier Commander,1941,6,4/4,1,2,-,-,5,-,-,"COMMANDER ABILITIES:1, Tenacity"
38M Toldi IIA,Hungary,Vehicle Tank,1942,8,3/2,4,8,7,6,6,6,5,Mobility
40/43M Zrinyi Assault Howitzer,Hungary,Vehicle Assault Gun,1944,17,5/3,3,8,8,7,9,8,7,"Fixed Howitzer, Bombardment"
PzKpfw 38(t),Hungary,Vehicle Tank,1942,10,3/2,4,8,7,5,7,7,6,Robust
Turan 1,Hungary,Vehicle Tank,1944,11,4/2,4,8,7,6,7,6,5,-
C.200 Saetta Rookie,Italy,Aircraft,1940,9,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair, Inaccurate 1"
C.202 Folgore,Italy,Aircraft,1941,12,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair"
C.202 Folgore Ace,Italy,Aircraft,1941,15,4/4,A,3,2,-,8,6,-,"Aircraft, Agility, Ace"
Expeditionary C.200 Saetta,Italy,Aircraft,1940,13,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair, Agility"
Macchi c.202 Folgore,Italy,Aircraft,1941,14,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair"
Re.2001 CB Fighter Bomber,Italy,Aircraft,1942,14,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair, Bombs"
Re.2001 Falco II,Italy,Aircraft,1941,11,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair"
47/32 Antitank Gun,Italy,Soldier Artillery,1940,7,3/3,0,10,8,7,6,5,4,Relocate 2
Blackshirts,Italy,Soldier,1940,4,4/4,1,2,-,-,8,6,-,"Ruthless, Close Assault 6"
Breda Modello 30 LMG,Italy,Soldier,1940,3,4/4,1,2,1,-,6,4,-,Limited Covering Fire
Breda Modello 37,Italy,Soldier,1940,8,4/4,1,3,3,2,9,8,6,Double Shot
Brixia M35 45mm Mortar,Italy,Soldier,1939,4,3/3,1,-,4,-,3,5,-,"Inaccurate 1, Shrapnel 2, Rapid Fire"
Cannone da 75/27 Modello 11,Italy,Soldier Artillery,1940,6,3/3,0,6,5,4,9,8,7,"Relocate 2, Indirect Fire, Enhanced Range 12, Light Artillery"
Fucile Modello 1891,Italy,Soldier,1940,3,4/4,1,2,-,-,8,6,-,Close Assault 6
Italian alpine troop,Italy,Soldier,1940,4,4/4,1,2,-,-,9,5,-,"Mountaineering, Close Assault 5, Steely Resolve 2"
Italian Conscript,Italy,Soldier,1940,2,4/4,1,2,-,-,7,5,-,"Lack of Determination, Close Assault 5"
Stalwart Hero,Italy,Soldier Hero,1940,7,5/5,1,2,-,-,8,7,-,"Italian Hero, Close Assault 7, Covering Fire"
Stalwart Lieutenant,Italy,Soldier Commander,1940,6,4/4,1,-,-,-,5,-,-,"COMMANDER ABILITIES:1, Stalwart"
Autoblinda AB 41,Italy,Vehicle Armored Car,1940,8,2/2,4,4,3,2,8,8,7,"High Gear 2, Strike and Fade 2, Awareness"
Carro Armato M11/39,Italy,Vehicle Tank,1940,10,3/2,3,9,7,5,8,7,6,Fixed Gun
Carro Armato M13/40,Italy,Vehicle Tank,1940,12,4/3,3,10,8,6,8,8,6,"Overlapping Fire, Highly Flammable"
L3/35,Italy,Vehicle Tank,1940,7,2/2,4,2,2,2,6,5,4,"Excellent Suspension, Double Shot"
L6/40,Italy,Vehicle Tank,1940,8,3/2,4,4,3,2,6,5,4,Double Shot
Semovente 75/18,Italy,Vehicle Tank Destroyer,1942,14,4/3,3,12,11,10,7,6,6,"No Turret, Fire Hazard"
Semovente 90/53,Italy,Vehicle Tank Destroyer,1943,26,4/3,3,17,15,12,5,4,-,"No Turret, Open Back, Extended Range 12"
Semovente L40 da 47/32,Italy,Vehicle Assault Gun,1942,10,3/3,4,10,8,7,6,5,4,No Turret
Veteran Carro Armato M13/40,Italy,Vehicle Tank,1940,14,4/3,3,10,8,6,8,8,6,"Overlapping Fire, Highly Flammable, Veteran Crew"
"A6M2 ""Zeke""",Japan,Aircraft,1940,12,3/3,A,4,3,-,8,6,-,"Aircraft, Antiair, Agility"
A6M2 Zero Ace,Japan,Aircraft,1941,14,3/3,A,4,3,-,7,7,-,"Aircraft, Ace, Agility"
A6M3 Zero Escort,Japan,Aircraft,1942,13,3/3,A,4,3,-,8,6,-,"Antiair, Agility, Aircraft, Steady Firing"
